Student ID - Student ID,Student ID - COURSE CODE,Which year level are you currently completing?,"Are you enrolled in the standard 3-year Bachelor of Science (Agricultural Science) or a 4-year combined degree (e.g., Ag/Commerce)?","Before starting this program, did you have prior professional experience (e.g., TAFE certificate, industry work) in agriculture?",I chose UWA's Agricultural Sciences program primarily due to its reputation for in Agricultural Sciences/AgTech.,Did you primarily reside in a rural or regional area of Western Australia (outside Perth Metro) during high school?,Did you grow up on a working farm or pastoral property?,Where did you complete the majority of your secondary schooling (Years 10-12)?,I am satisfied with the current minimum duration of the degree (typically 3 years for the BSc).,"If offered, I would seriously consider extending my degree by one semester for a guaranteed, supervised farm residency/stay.",My primary motivation for studying agriculture is to contribute to the private sector/farming industry.,My primary motivation for studying agriculture is to pursue a career in agricultural research or R&D.,"I found the foundational mathematics and science bridging units (e.g., CHEM1003, MATH1720, SCIE1500) necessary for my academic success in later units.",I am involved with the Student Network of Agricultural Graduates (SNAGS) events or committee.,"Face-to-face lectures effectively convey complex agricultural concepts (e.g., soil analysis, genetics) and enhance long-term retention.","Assessments in core units (e.g., AGRI1001, AGRI2201) are clear, fair, and clearly measure the stated unit learning outcomes.","Faculty members demonstrate deep, current expertise in their specific fields and communicate it effectively.","Feedback received on assignments is detailed, constructive, and directly contributes to improving my future technical and analytical performance.",Guest lectures from industry professionals significantly enhance my understanding of real-world application and current trends.,I feel adequately supported and encouraged by faculty to engage in intellectual curiosity beyond the scope of unit requirements.,"The curriculum effectively integrates the use of AgTech, including data analysis, remote sensing (GIS), and programming concepts, as promised by the degree focus.","Unit content is highly relevant to current production systems, challenges, and policy environments specific to Western Australian agriculture.","The program thoroughly prepares me to assess the economic, environmental, and ethical trade-offs of modern farming systems and technology adoption.","Units focusing on farm economics, finance, and supply chain management provide immediately useful skills for agribusiness assessment.",The units in the first year are useful or relevant.,"The units provide sufficient technical depth in specialized agricultural domains (e.g., advanced genetics, soil chemistry) to meet my long-term career goals.","The pacing and workload across units allows me sufficient time to achieve deep, reflective understanding of the complex subject matter.","Online learning components (LMS, blended learning tools) are user-friendly, highly accessible, and effectively supplement in-person teaching.","The range of available elective units allows me to adequately specialize or diversify my skills in my preferred area of agriculture (e.g., livestock, cropping, economics).",Library and database resources related to advanced agricultural science and AgTech research meet my specific academic needs.,"The program units flow logically from foundational science (Y1) to specialized application (Y3), demonstrating strong curricular coherence.","UWA career services and faculty guidance actively assist in linking students to agriculture-specific jobs, internships, or professional mentorships.",Student Association (SNAGS) >> Industry Connections,Student Association (SNAGS) >> Cohort feeling,Student Association (SNAGS) >> Social Connection,Student Association (SNAGS) >> I am hesitant to participate,I believe more units are needed in:,Would you consider studying abroad?,Which countries would you consider to study abroad?,"As a whole, agricultural science units are too broad (i.e. not in-depth enough)",Additional comments:,What is your expected income as a graduate ($),Student ID,Submission ID
12980,CUR,4th Year or more,4-year combined degree,No,3,No,No,Agricultural College,3,3,3,3,3,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,"Livestock Management
Weed Management",No,"Netherlands
USA",3,Thanks!,"120,000",,6362450531527378936
25062358,MJD-AGTDM,1st Year,Standard 3-year BSc,No,5,No,No,Private Day School,5,4,5,5,4,No,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,Neutral,Neutral,Neutral,Neutral,Livestock Management,Yes,New Zeland,3,,"70,000",,6362452301337133428
24214965,CM014,2nd Year,4-year combined degree,No,4,No,No,Private Day School,5,3,5,3,4,Yes,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,5,3,Strongly Agree,Agree,Agree,Neutral,Livestock Management,Yes,New Zeland,5,,"100,000",,6362453397939846433
23419994,CB001 - MJD-AGBDM & MJD-CONBI,4th Year or more,4-year combined degree,No,3,No,No,Public Day School,5,4,5,4,5,Yes,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,3,5,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Livestock Management
Soil Sciences
Horticultural Sciences",Yes,"Canada
New Zeland
Netherlands",2,"I have thoroughly enjoyed my time at UWA. Having started as a complete newbie to Ag, I feel I now have a comprehensive and professional understanding of the industry and I am excited to pursue the opportunities my majors have provided me as I move forwards. Participating in SNAGS events the past year has provided me with friends I am sure I'll have for the rest of my life, and industry connections that have already held me in good standing.","90,000",,6362455246776349644
23341056,CM013,4th Year or more,4-year combined degree,Yes,5,No,No,Public Day School,4,5,2,5,2,Yes,4,3,3,2,4,3,4,4,3,3,2,3,3,2,3,2,3,2,Neutral,Neutral,Neutral,Neutral,"Livestock Management
Soil Sciences
Weed Management
Precision Agriculture",Yes,"Canada
New Zeland
Netherlands",2,"We have very limited amount of actual teaching about livestock specifically. Unless someone has come in with background experience in livestock (basics of production, breeding, biosecurity, new tech ect.), they would struggle. Certain units that are very broad like in first year, may benefit from incorporating specific agricultural examples into the learning to better show ag relevence to aggies.","70,000",,6362460181019627677
23875923,MJD-AGTDM,3rd Year,Standard 3-year BSc,No,5,Yes,No,International,5,5,5,5,2,No,3,4,5,2,5,2,5,5,5,4,1,4,2,5,2,5,5,2,,,,,"Livestock Management
Weed Management
Horticultural Sciences
Precision Agriculture
Plant Breeding",Yes,"New Zeland
Netherlands",5,"WIL does not help students to secure internships. They only coordinate everything once students find their own internship. As an international student (paying more than double the fees), I struggled a lot finding internship and WIL didn't offer any help. WIL should provide more resources and help students in finding internships, share more opportunities and assist them in securing an internship. 

The course should include more hands-on components (like on-field, in soil and plants) in their curriculum so students could get more expertise. 

However, the lab sessions by all units were fabuolous particularly the ones related to soil sciences. These labs were highly organised and offered much exposure to what's happening around. 

SCIE2205 was a wonderful unit. University should provide more emphasize on it as it really help students to better understand the industry for which they're getting ready.

GENE2205 was not quite efficient in explaining the concepts. It felt like it was moving too quick and also, most students barely passed. Not many understood the concepts and the principles. Even the labs weren't effective in explaining the concepts. Maybe one more genetics unit should be added - one as base (covering very fundamentals) and then move on the higher one.",,,6362998164312917190
23657474,CM013,3rd Year,4-year combined degree,Yes,5,Yes,Yes,Private Day School,4,3,4,3,2,Yes,4,4,4,5,5,3,4,4,3,2,2,2,2,2,2,4,3,2,Agree,Agree,Agree,Strongly Disagree,"Agricultural Engineering
Horticultural Sciences
Plant Breeding",Yes,"Canada
USA",4,"Need to promote better the opportunities out there via email chains from professors. Units are quite board. I personally would prefer more contact hours so students are at uni more = better campus culture. Better first year units to retain students, AGRI1101 could be improved.","90,000",,6363031700013885751
,,1st Year,Standard 3-year BSc,Yes,4,Yes,No,Public Day School,4,4,3,2,3,Yes,3,4,4,3,3,3,4,4,4,3,3,3,4,4,3,3,3,3,Agree,Agree,Strongly Agree,Disagree,,Yes,"Canada
Denmark",3,,"80,000",24315715,6363051830764005030
,,1st Year,Standard 3-year BSc,No,4,No,No,Private Day School,5,5,5,3,4,Yes,4,5,5,5,5,5,5,5,5,4,5,5,4,3,5,5,5,4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Livestock Management
Soil Sciences
Horticultural Sciences",Yes,"Netherlands
USA",1,Loving my degree and how the Ag Department has made a great learning environment,"70,000",24230698,6363126510017108610
,,2nd Year,Standard 3-year BSc,Yes,5,Yes,Yes,Private Boarding School,4,2,5,4,3,Yes,5,4,5,3,2,3,3,3,1,2,2,3,4,3,2,3,1,3,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,"Agricultural Engineering
Weed Management
Precision Agriculture
Plant nutrition management",Yes,"Canada
USA",5,"6mo position I'd be hesitant, excellent opportunities in workforce for anyone. Doubt businesses will commit or will not be much learnt/gained. Training/learning I'd hope for to justify six mo more probably not pay for itself for the business. Might be better to look into the scholarship warakirri give curtin a bit (~$10k and must work over harvest after sem for two seasons paid market rates) 

UWA sells its ag courses as the best for broad acre dryland cropping anywhere. Would be great to see specific core units for this the whole way through degree. Anyone at uni for animal stuff is at murdoch and lots of crossover to manage a pasture/feed crop. Agri1101 is good but not specific. 
Individual units giving competency in spray recommendations, fertiliser/nutrition management (then built on later with the biology/soil sciences that are already in unit), basic structural/mechanical engineering, robotics or hands-on electrical engineering. 

GET RID OF SCOM1101 Learnt the content better inadvertently through ALL other units.
Get rid of all the group assignments","80,000",23973686,6363146767718405150
